"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd"
"USGS","12484480",1989-06-29,"18:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,121,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-06-30 01:30:00,"UTC"
"USGS","12484480",1989-06-29,"18:35",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,126,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-06-30 01:35:00,"UTC"
"USGS","12484480",1999-08-02,"17:00",NA,NA,"T","USGS-WRD","WS","474116900",NA,NA,NA,"9","9","9","A-2160072 100 ml filtered for soc, attn: leslie kanagy sch 1398 + o.p.-ddt suite","80154",NA,38,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1999-08-03 00:00:00,"UTC"
"USGS","12484500",1987-04-15,"13:45",NA,NA,"T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,"80154",NA,20,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-04-15 20:45:00,"UTC"
"USGS","12484500",1987-05-01,"15:05",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,84,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-05-01 22:05:00,"UTC"
"USGS","12484500",1987-05-13,"14:00",NA,NA,"T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,"80154",NA,18,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-05-13 21:00:00,"UTC"
"USGS","12484500",1987-06-10,"13:00",NA,NA,"T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,"80154",NA,12,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-06-10 20:00:00,"UTC"
"USGS","12484500",1987-08-18,"09:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,10,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-08-18 16:00:00,"UTC"
"USGS","12484500",1987-09-09,"08:45",NA,NA,"T","USGS-WRD","WS","474100490",NA,NA,NA,"9","9","9",NA,"80154",NA,18,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-09-09 15:45:00,"UTC"
"USGS","12484500",1987-10-14,"07:50",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,6,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1987-10-14 14:50:00,"UTC"
