"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","startDateTime","remark_cd_00681","result_va_00681","val_qual_tx_00681","meth_cd_00681","dqi_cd_00681","rpt_lev_va_00681","rpt_lev_cd_00681","lab_std_va_00681","prep_set_no_00681","prep_dt_00681","anl_set_no_00681","anl_dt_00681","result_lab_cm_tx_00681","anl_ent_cd_00681","month"
"USGS","12484500",1988-12-14,"12:05",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-12-14 12:05:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"USGS","12484500",1989-01-11,"11:30",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-01-11 11:30:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12484500",1989-01-31,"21:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-01-31 21:00:00,NA,2.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12484500",1989-02-15,"12:12",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-02-15 12:12:00,NA,1.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12484500",1989-03-15,"11:58",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-03-15 11:58:00,NA,2.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"USGS","12484500",1989-04-06,"21:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-04-06 21:45:00,NA,2.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12484500",1989-04-12,"13:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-04-12 13:00:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12484500",1989-05-10,"11:25",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-05-10 11:25:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"USGS","12484500",1989-06-14,"11:10",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-06-14 11:10:00,NA,1.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12484500",1989-06-28,"17:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-06-28 17:00:00,NA,5.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12484500",1989-06-28,"17:05",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-06-28 17:05:00,NA,2.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12484500",1989-07-12,"08:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-07-12 08:45:00,NA,0.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12484500",1989-08-10,"11:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-08-10 11:30:00,NA,1.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"USGS","12484500",1989-09-13,"19:15",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-09-13 19:15:00,NA,1.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1989-10-12,"09:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-10-12 09:00:00,NA,1.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"USGS","12484500",1989-10-22,"09:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-10-22 09:00:00,NA,1.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"USGS","12484500",1989-11-15,"06:35",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-11-15 06:35:00,NA,1.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"USGS","12484500",1989-12-05,"15:23",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-12-05 15:23:00,NA,2.5,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
